Name,URL,Image,Stars,Prices,Stock
Bolso Deportivo Tiro Pequeño,/bolso-deportivo-tiro-pequeno/DU2001.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw4aa4f3f5/zoom/DU2001_00_plp_standard.jpg?sw=230&strip=false,Not Ranked,119,Yes
Bolso con Ruedas Pequeño,/bolso-con-ruedas-pequeno/CY6059.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw3b294576/zoom/CY6059_00_plp_standard.jpg?sw=230&strip=false,Not Ranked,649,Yes
Muñequera de Tenis Grande,/munequera-de-tenis-grande/DJ0927.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw6dba2611/zoom/DJ0927_00_plp_standard.jpg?sw=230&strip=false,5,29,Yes
Bolso Vintage Airliner Mini,/bolso-vintage-airliner-mini/DH1004.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw60e02872/zoom/DH1004_00_plp_standard.jpg?sw=230&strip=false,5,149,Yes
Pelota Tango Street Capitano,/pelota-tango-street-capitano/DN8725.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw477838ae/zoom/DN8725_00_plp_standard.jpg?sw=230&strip=false,Not Ranked,69,Yes
BACKPACK BACKPACK XS,/backpack-backpack-xs/DJ1231.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0f0f20ca/zoom/DJ1231_00_plp_standard.jpg?sw=230&strip=false,4,179,Yes
Mochila Sideline Z.N.E.,/mochila-sideline-z.n.e./BR1572.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw73a606c1/zoom/BR1572_00_plp_standard.jpg?sw=230&strip=false,5,249,Yes
Gorro de Natación Graphic Silicone,/gorro-de-natacion-graphic-silicone/CE9931.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw7bb34799/zoom/CE9931_00_plp_standard.jpg?sw=230&strip=false,5,39,Yes
Billetera Archive Passport,/billetera-archive-passport/BQ5960.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwcb1448a1/zoom/BQ5960_00_plp_standard.jpg?sw=230&strip=false,3,99,Yes
Pantalón de Entrenamiento Tiro 19,/pantalon-de-entrenamiento-tiro-19/D95961.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw86056868/zoom/D95961_01_laydown.jpg?sw=230&strip=false,5,119,Yes
Bolso deportivo Perú 2018,/bolso-deportivo-peru-2018/DX0994.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf6834843/zoom/DX0994_00_plp_standard.jpg?sw=230&strip=false,4,49,Yes
Canilleras Lesto Messi 10,/canilleras-lesto-messi-10/DN8601.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw7b8d84b7/zoom/DN8601_00_plp_standard.jpg?sw=230&strip=false,Not Ranked,29,Yes
Canilleras X Lesto,/canilleras-x-lesto/DN8613.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf9502b8f/zoom/DN8613_00_plp_standard.jpg?sw=230&strip=false,Not Ranked,29,Yes
Bolso Deportivo Football Street,/bolso-deportivo-football-street/DT5137.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf8779457/zoom/DT5137_00_plp_standard.jpg?sw=230&strip=false,Not Ranked,49,Yes
Maletín Football Street,/maletin-football-street/CY5632.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwd40dcd59/zoom/CY5632_00_plp_standard.jpg?sw=230&strip=false,5,169,Yes
Licras 7-8 Alphaskin Sport 2.0 Embossed,/licras-7-8-alphaskin-sport-2.0-embossed/DT6265.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb62f8ede/zoom/DT6265_21_model.jpg?sw=230&strip=false,Not Ranked,229,Yes
Mochila Selección de Alemania 2018,/mochila-seleccion-de-alemania-2018/CF4941.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw34d73913/zoom/CF4941_00_plp_standard.jpg?sw=230&strip=false,5,139,Yes
BALL (MACHINE-STITCHED) Finale18MUFCmin,/ball-machine-stitched-finale18mufcmin/CW4142.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw737aab63/zoom/CW4142_00_plp_standard.jpg?sw=230&strip=false,5,49,Yes
