URL,low_price,image,name,normal_price
https://www.plazavea.com.pe/nectar-frugos-durazno-caja-1l/p,S/ 3.35,https://plazavea.vteximg.com.br/arquivos/ids/179862-220-220/20100754.jpg?v=635911477988670000,Néctar FRUGOS Durazno Caja 1L,S/ 3.39
https://www.plazavea.com.pe/gaseosa-coca-cola-sin-azucar-2-pack-botella-1-5l/p,S/ 9.90,https://plazavea.vteximg.com.br/arquivos/ids/172989-220-220/985158.jpg?v=635785237080100000,Gaseosa COCA COLA Sin Azúcar 2 Pack Botella 1.5L,S/ 11.10
https://www.plazavea.com.pe/gaseosa-coca-cola-inca-kola-2-pack-botella-3l/p,S/ 15.90,https://plazavea.vteximg.com.br/arquivos/ids/199285-220-220/121306.jpg?v=636657245709370000,Gaseosa COCA COLA + INCA KOLA 2 Pack Botella 3L,S/ 16.90
https://www.plazavea.com.pe/gaseosa-sprite-botella-3l/p,S/ 5.20,https://plazavea.vteximg.com.br/arquivos/ids/170435-220-220/118819.jpg?v=635774867073430000,Gaseosa SPRITE Botella 3L,S/ 7.50
https://www.plazavea.com.pe/agua-mineral-san-mateo-sin-gas-bidon-7l/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/173317-220-220/20063486.jpg?v=635785250772930000,Agua Mineral SAN MATEO sin Gas Bidón 7L,No disponible
https://www.plazavea.com.pe/agua-de-mesa-cielo-sin-gas-paquete-6un-botella-625ml/p,S/ 5.90,https://plazavea.vteximg.com.br/arquivos/ids/173007-220-220/986668.jpg?v=635785237533900000,Agua de Mesa CIELO sin Gas Paquete 6un Botella 625ml,S/ 6.50
https://www.plazavea.com.pe/cerveza-cusquena-12-pack-lata-355ml/p,S/ 32.90,https://plazavea.vteximg.com.br/arquivos/ids/172742-220-220/948888.jpg?v=635785231851970000,Cerveza CUSQUEÑA 12 Pack Lata 355ml,S/ 38.40
https://www.plazavea.com.pe/agua-mineral-san-mateo-sin-gas-paquete-6un-botella-600ml/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/169038-220-220/31592.jpg?v=635769967014430000,Agua Mineral SAN MATEO sin Gas Paquete 6un Botella 600ml,No disponible
https://www.plazavea.com.pe/gaseosa-schweppes-citrus-botella-1-5l/p,S/ 4.00,https://plazavea.vteximg.com.br/arquivos/ids/167764-220-220/20073703.jpg?v=635769945613870000,Gaseosa SCHWEPPES Citrus Botella 1.5L,S/ 6.00
https://www.plazavea.com.pe/licuadora-taurus-legend-gris/p,S/ 149.90,https://plazavea.vteximg.com.br/arquivos/ids/203895-220-220/20146694.jpg?v=636760071253970000,Licuadora TAURUS Legend Gris,S/ 189.90
https://www.plazavea.com.pe/cocedor-de-huevos-thomas-th-80-negro/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/203888-220-220/20145436.jpg?v=636760071219100000,Cocedor de Huevos THOMAS TH-80 Negro,No disponible
https://www.plazavea.com.pe/combo-thomas-cafetera-th-130-hervidor-th-4800/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/203893-220-220/20145442.jpg?v=636760071244170000,Combo THOMAS Cafetera TH-130 + Hervidor TH-4800,No disponible
https://www.plazavea.com.pe/popcorn-maker-practika/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/203886-220-220/20083033.jpg?v=636760071210770000,Popcorn Maker PRACTIKA,No disponible
https://www.plazavea.com.pe/olla-arrocera-taurus-hermetic-cook-1-8l/p,S/ 129.90,https://plazavea.vteximg.com.br/arquivos/ids/197933-220-220/20140445.jpg?v=636631353180470000,Olla Arrocera TAURUS Hermetic Cook 1.8L,S/ 149.90
https://www.plazavea.com.pe/combo-oster-licuadora-blsteg7890c-exprimidor/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/203920-220-220/20139506.jpg?v=636760920888400000,Combo OSTER Licuadora BLSTEG7890C + Exprimidor,No disponible
https://www.plazavea.com.pe/secador-de-cabello-siegen-sg3049c01/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/197894-220-220/20138992.jpg?v=636631353013430000,Secador de Cabello SIEGEN SG3049C01,No disponible
